Record_Year,Primary diagnosis: summary code and description,Unnamed: 1,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency.1,Elective,Other
2012-13,"G10-G14, G30-G32 ",Other degenerative diseases (incl. Alzheimer).,17414.0,10464.0,8581.0,8832.0,1.0,6067.0,1904.0,1896.0,597.0,41.0,23.0,43.2,16.0,72.0,81.0,183.0,133.0,105.0,25.0,17.0,23.0,13.0,8.0,77.0,103.0,72.0,123.0,218.0,390.0,559.0,822.0,1157.0,1573.0,1919.0,2613.0,3229.0,2600.0,1359.0,1333.0,450973.0,,,
2012-13,G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,19483.0,13391.0,10433.0,9050.0,0.0,5267.0,4911.0,2705.0,508.0,49.0,31.0,16.5,7.0,66.0,278.0,229.0,193.0,189.0,28.0,54.0,60.0,74.0,41.0,175.0,216.0,276.0,269.0,538.0,783.0,901.0,1035.0,1481.0,2177.0,2191.0,3043.0,2843.0,1760.0,615.0,5699.0,142233.0,,,
2012-13,G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,43311.0,40216.0,12986.0,30322.0,3.0,3361.0,11201.0,25346.0,308.0,40.0,17.0,13.0,4.0,42.0,2.0,33.0,59.0,105.0,49.0,34.0,67.0,105.0,191.0,1786.0,3888.0,5805.0,6312.0,7767.0,6714.0,4371.0,2523.0,1596.0,997.0,454.0,274.0,105.0,36.0,14.0,34543.0,77447.0,,,
2012-13,G40-G47,Epilepsymigraine & other episodic disorders,150116.0,120333.0,74841.0,75268.0,7.0,79111.0,31370.0,8711.0,1141.0,50.0,33.0,2.7,1.0,49.0,1501.0,8089.0,5722.0,4361.0,893.0,841.0,960.0,1005.0,1003.0,6271.0,6755.0,7154.0,7821.0,10275.0,11221.0,10652.0,9233.0,9310.0,9101.0,8282.0,8993.0,9104.0,6914.0,4381.0,15133.0,290769.0,,,
2012-13,"G50-G73, G90-G99",Other diseases & disorders of the nervous syst.,139883.0,126885.0,62163.0,77700.0,20.0,18881.0,81070.0,25089.0,1845.0,61.0,48.0,8.5,2.0,55.0,811.0,1194.0,1042.0,1445.0,408.0,408.0,378.0,380.0,412.0,3125.0,4166.0,5521.0,7057.0,10620.0,13237.0,14619.0,13712.0,13696.0,13350.0,10983.0,10384.0,7425.0,3802.0,1450.0,91388.0,309186.0,,,
2012-13,G80-G83,Cerebral palsy & other paralytic syndromes,15940.0,13517.0,8456.0,7482.0,2.0,4700.0,4775.0,3461.0,581.0,109.0,62.0,14.0,3.0,40.0,83.0,1131.0,2123.0,1699.0,319.0,293.0,213.0,159.0,84.0,473.0,397.0,421.0,475.0,644.0,782.0,846.0,674.0,832.0,919.0,764.0,841.0,815.0,553.0,363.0,5359.0,104510.0,,,
2012-13,"H00-H06, H15-H22, H30-H36, H43-H59",Other disorders of the eye etc,240861.0,237038.0,112009.0,128841.0,11.0,22293.0,166097.0,48118.0,530.0,50.0,34.0,2.0,1.0,63.0,1175.0,7210.0,6026.0,3346.0,860.0,763.0,657.0,669.0,648.0,3894.0,4472.0,4888.0,5365.0,6895.0,9011.0,10589.0,12057.0,16516.0,21932.0,25065.0,31115.0,32446.0,23921.0,11166.0,201559.0,69159.0,,,
2012-13,H10-H13,Disorders of conjunctiva (including conjunctivitis),5566.0,5422.0,2810.0,2756.0,0.0,1293.0,3927.0,179.0,23.0,66.0,53.0,1.4,0.0,45.0,376.0,384.0,168.0,128.0,16.0,23.0,28.0,16.0,14.0,107.0,170.0,254.0,316.0,405.0,467.0,420.0,360.0,349.0,423.0,340.0,296.0,234.0,173.0,83.0,3977.0,2010.0,,,
2012-13,H25-H28,Disorders of lens (including cataracts),347852.0,346307.0,146745.0,200667.0,440.0,542.0,335249.0,10485.0,31.0,67.0,60.0,1.5,1.0,74.0,56.0,134.0,171.0,134.0,34.0,29.0,24.0,46.0,44.0,253.0,362.0,588.0,859.0,2065.0,4117.0,7876.0,13839.0,24645.0,41359.0,55699.0,71535.0,68422.0,41109.0,14321.0,342143.0,8184.0,,,
2012-13,H40-H42,Glaucoma,20099.0,19944.0,9572.0,10526.0,1.0,1186.0,17952.0,784.0,22.0,47.0,36.0,1.7,1.0,67.0,34.0,81.0,56.0,75.0,28.0,21.0,19.0,18.0,14.0,134.0,140.0,211.0,297.0,505.0,852.0,1086.0,1479.0,2050.0,2771.0,2965.0,3009.0,2428.0,1355.0,457.0,17031.0,4709.0,,,
